2020-03-05 17:26:19 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=2426523, format=png, width=1080, height=3179, colorModel=nrgba, orientation=null, name=21ee981566ce757d31a948b09d2db6a6_1583400355479-watermark) :84
2020-03-05 17:42:17 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=1632798, format=png, width=1080, height=1844, colorModel=nrgba, orientation=null, name=2b6eb918bd51e7003ebdb8dca6bf182f_1583401319518-watermark) :84
2020-03-05 16:06:29 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=7169243, format=jpeg, width=6000, height=8000, colorModel=ycbcr, orientation=Top-left, name=e4943cf073b9622f56a23120bf8b5b9a_1583395270790-watermark) :84
2020-03-05 16:49:27 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=1985460, format=png, width=1080, height=2340, colorModel=rgba, orientation=null, name=861ac48f8c7898e441533435673e1f12_1583398158583) :84
2020-03-05 16:49:30 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=2721302, format=png, width=1080, height=2340, colorModel=rgba, orientation=null, name=ce1ae886b4b42270aeda08d64973171f_1583398158597) :84
2020-03-05 16:49:32 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=2037173, format=png, width=1080, height=2340, colorModel=rgba, orientation=null, name=ff37b77b3eaad9b6239218423bb0eb33_1583398158579) :84
2020-03-05 15:23:48 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=150647, format=jpeg, width=899, height=1600, colorModel=ycbcr, orientation=null, name=eccdec446f08910db1e1bc2b36160e8f_1583393018549-watermark) :84
2020-03-05 15:29:06 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=183144, format=jpeg, width=1080, height=1528, colorModel=ycbcr, orientation=null, name=d25fcdc792bd553a043d90e071cd5f3f_1583393319461-watermark) :84
2020-03-05 15:29:06 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=131816, format=jpeg, width=960, height=1706, colorModel=ycbcr, orientation=null, name=d1bf9028bec7b1a8db0a2f688498accb_1583393319446-watermark) :84
2020-03-05 15:29:06 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=154883, format=jpeg, width=960, height=1706, colorModel=ycbcr, orientation=null, name=db366043deeee1933b5cffe3cf49c6e3_1583393319446-watermark) :84
2020-03-05 15:29:06 [com.kk.image.compress.QiNiuCompressTask] - 七牛压缩失败!将使用Guetzli进行压缩,ImageInfo(size=126989, format=jpeg, width=1080, height=1920, colorModel=ycbcr, orientation=null, name=6bbc4ebbb7a56909e4f80627b63e0e61_1583393319446-watermark) :84
